"Perioden";"Regio's";"Bevolking aan het begin van de periode (aantal)"
"2020";"Eijsden-Margraten";"   25768"
"2021";"Eijsden-Margraten";"   25900"
"2022";"Eijsden-Margraten";"   25857"
"2023";"Eijsden-Margraten";"   25991"
"2011";"Eindhoven";"  216036"
"2012";"Eindhoven";"  217225"
"2013";"Eindhoven";"  218433"
"2014";"Eindhoven";"  220920"
"2015";"Eindhoven";"  223209"
"2016";"Eindhoven";"  224755"
"2017";"Eindhoven";"  226868"
"2018";"Eindhoven";"  229126"
"2019";"Eindhoven";"  231642"
"2020";"Eindhoven";"  234394"
"2021";"Eindhoven";"  235691"
"2022";"Eindhoven";"  238326"
"2023";"Eindhoven";"  243730"
"2011";"Elburg";"   22310"
"2012";"Elburg";"   22416"
"2013";"Elburg";"   22510"
"2014";"Elburg";"   22645"
"2015";"Elburg";"   22843"
"2016";"Elburg";"   22929"
"2017";"Elburg";"   23026"
"2018";"Elburg";"   23107"
"2019";"Elburg";"   23086"
"2020";"Elburg";"   23161"
"2021";"Elburg";"   23429"
"2022";"Elburg";"   23740"
"2023";"Elburg";"   24037"
"2011";"Emmen";"  109259"
"2012";"Emmen";"  108838"
"2013";"Emmen";"  108392"
"2014";"Emmen";"  108052"
"2015";"Emmen";"  107775"
"2016";"Emmen";"  107584"
"2017";"Emmen";"  107490"
"2018";"Emmen";"  107192"
"2019";"Emmen";"  107113"
"2020";"Emmen";"  107048"
"2021";"Emmen";"  107024"
"2022";"Emmen";"  107856"
"2023";"Emmen";"  108765"
"2011";"Enkhuizen";"   18173"
"2012";"Enkhuizen";"   18268"
"2013";"Enkhuizen";"   18315"
"2014";"Enkhuizen";"   18376"
"2015";"Enkhuizen";"   18345"
"2016";"Enkhuizen";"   18455"
"2017";"Enkhuizen";"   18479"
"2018";"Enkhuizen";"   18476"
"2019";"Enkhuizen";"   18507"
"2020";"Enkhuizen";"   18591"
"2021";"Enkhuizen";"   18637"
"2022";"Enkhuizen";"   18620"
"2023";"Enkhuizen";"   18885"
"2011";"Enschede";"  157838"
"2012";"Enschede";"  158048"
"2013";"Enschede";"  158627"
"2014";"Enschede";"  158586"
"2015";"Enschede";"  158553"
"2016";"Enschede";"  158351"
"2017";"Enschede";"  158140"
"2018";"Enschede";"  158261"
"2019";"Enschede";"  158986"
"2020";"Enschede";"  159640"
"2021";"Enschede";"  159732"
"2022";"Enschede";"  160640"
"2023";"Enschede";"  161235"
"2011";"Epe";"   32875"
"2012";"Epe";"   32519"
"2013";"Epe";"   32385"
"2014";"Epe";"   32351"
"2015";"Epe";"   32214"
"2016";"Epe";"   32282"
"2017";"Epe";"   32537"
"2018";"Epe";"   32863"
"2019";"Epe";"   33145"
"2020";"Epe";"   33178"
"2021";"Epe";"   33198"
"2022";"Epe";"   33257"
"2023";"Epe";"   33283"
"2011";"Ermelo";"   26133"
"2012";"Ermelo";"   26127"
"2013";"Ermelo";"   26120"
"2014";"Ermelo";"   26045"
"2015";"Ermelo";"   26190"
"2016";"Ermelo";"   26507"
"2017";"Ermelo";"   26590"
"2018";"Ermelo";"   26793"
"2019";"Ermelo";"   26858"
"2020";"Ermelo";"   27008"
"2021";"Ermelo";"   27016"
"2022";"Ermelo";"   27258"
"2023";"Ermelo";"   27496"
"2011";"Etten-Leur";"   41800"
"2012";"Etten-Leur";"   42048"
"2013";"Etten-Leur";"   42274"
"2014";"Etten-Leur";"   42357"
"2015";"Etten-Leur";"   42503"
"2016";"Etten-Leur";"   42832"
"2017";"Etten-Leur";"   43027"
"2018";"Etten-Leur";"   43532"
"2019";"Etten-Leur";"   43774"
"2020";"Etten-Leur";"   43878"
"2021";"Etten-Leur";"   43869"
"2022";"Etten-Leur";"   44152"
"2023";"Etten-Leur";"   44578"
"2011";"Ferwerderadiel";"    8864"
"2012";"Ferwerderadiel";"    8837"
"2013";"Ferwerderadiel";"    8856"
"2014";"Ferwerderadiel";"    8790"
"2015";"Ferwerderadiel";"    8738"
"2016";"Ferwerderadiel";"    8701"
"2017";"Ferwerderadiel";"    8735"
"2018";"Ferwerderadiel";"    8671"
"2019";"Ferwerderadiel";""
"2020";"Ferwerderadiel";""
"2021";"Ferwerderadiel";""
"2022";"Ferwerderadiel";""
"2023";"Ferwerderadiel";""
"2011";"Franekeradeel";"   20755"
"2012";"Franekeradeel";"   20512"
"2013";"Franekeradeel";"   20476"
"2014";"Franekeradeel";"   20445"
"2015";"Franekeradeel";"   20328"
"2016";"Franekeradeel";"   20265"
"2017";"Franekeradeel";"   20215"
"2018";"Franekeradeel";""
"2019";"Franekeradeel";""
"2020";"Franekeradeel";""
"2021";"Franekeradeel";""
"2022";"Franekeradeel";""
"2023";"Franekeradeel";""
"2011";"De Friese Meren";""
"2012";"De Friese Meren";""
"2013";"De Friese Meren";""
"2014";"De Friese Meren";"   51414"
"2015";"De Friese Meren";"   51213"
"2016";"De Friese Meren";""
"2017";"De Friese Meren";""
"2018";"De Friese Meren";""
"2019";"De Friese Meren";""
"2020";"De Friese Meren";""
"2021";"De Friese Meren";""
"2022";"De Friese Meren";""
"2023";"De Friese Meren";""
"2011";"De Fryske Marren";""
"2012";"De Fryske Marren";""
"2013";"De Fryske Marren";""
"2014";"De Fryske Marren";""
"2015";"De Fryske Marren";""
"2016";"De Fryske Marren";"   51265"
"2017";"De Fryske Marren";"   51585"
"2018";"De Fryske Marren";"   51742"
"2019";"De Fryske Marren";"   51430"
"2020";"De Fryske Marren";"   51564"
"2021";"De Fryske Marren";"   51778"
"2022";"De Fryske Marren";"   51597"
"2023";"De Fryske Marren";"   51992"
"2011";"Gaasterlân-Sleat";"   10225"
"2012";"Gaasterlân-Sleat";"   10194"
"2013";"Gaasterlân-Sleat";"   10196"
"2014";"Gaasterlân-Sleat";""
"2015";"Gaasterlân-Sleat";""
"2016";"Gaasterlân-Sleat";""
"2017";"Gaasterlân-Sleat";""
"2018";"Gaasterlân-Sleat";""
"2019";"Gaasterlân-Sleat";""
"2020";"Gaasterlân-Sleat";""
"2021";"Gaasterlân-Sleat";""
"2022";"Gaasterlân-Sleat";""
"2023";"Gaasterlân-Sleat";""
"2011";"Geertruidenberg";"   21307"
"2012";"Geertruidenberg";"   21471"
"2013";"Geertruidenberg";"   21513"
"2014";"Geertruidenberg";"   21571"
"2015";"Geertruidenberg";"   21574"
"2016";"Geertruidenberg";"   21630"
"2017";"Geertruidenberg";"   21504"
"2018";"Geertruidenberg";"   21517"
"2019";"Geertruidenberg";"   21515"
"2020";"Geertruidenberg";"   21544"
"2021";"Geertruidenberg";"   21770"
"2022";"Geertruidenberg";"   21944"
"2023";"Geertruidenberg";"   22099"
"2011";"Geldermalsen";"   26224"
"2012";"Geldermalsen";"   26334"
"2013";"Geldermalsen";"   26240"
"2014";"Geldermalsen";"   26300"
"2015";"Geldermalsen";"   26323"
"2016";"Geldermalsen";"   26346"
"2017";"Geldermalsen";"   26587"
"2018";"Geldermalsen";"   26818"
"2019";"Geldermalsen";""
"2020";"Geldermalsen";""
"2021";"Geldermalsen";""
"2022";"Geldermalsen";""
"2023";"Geldermalsen";""
"2011";"Geldrop";""
"2012";"Geldrop";""
"2013";"Geldrop";""
"2014";"Geldrop";""
"2015";"Geldrop";""
"2016";"Geldrop";""
"2017";"Geldrop";""
"2018";"Geldrop";""
"2019";"Geldrop";""
"2020";"Geldrop";""
"2021";"Geldrop";""
"2022";"Geldrop";""
"2023";"Geldrop";""
"2011";"Geldrop-Mierlo";"   38389"
"2012";"Geldrop-Mierlo";"   38671"
"2013";"Geldrop-Mierlo";"   38768"
"2014";"Geldrop-Mierlo";"   38854"
"2015";"Geldrop-Mierlo";"   38879"
"2016";"Geldrop-Mierlo";"   38893"
"2017";"Geldrop-Mierlo";"   39078"
"2018";"Geldrop-Mierlo";"   39252"
"2019";"Geldrop-Mierlo";"   39595"
"2020";"Geldrop-Mierlo";"   39726"
"2021";"Geldrop-Mierlo";"   40066"
"2022";"Geldrop-Mierlo";"   40131"
"2023";"Geldrop-Mierlo";"   40441"
"2011";"Gemert-Bakel";"   28906"
"2012";"Gemert-Bakel";"   29041"
"2013";"Gemert-Bakel";"   29101"
"2014";"Gemert-Bakel";"   29315"
"2015";"Gemert-Bakel";"   29513"
"2016";"Gemert-Bakel";"   29647"
"2017";"Gemert-Bakel";"   30024"
"2018";"Gemert-Bakel";"   30340"
"2019";"Gemert-Bakel";"   30447"
"2020";"Gemert-Bakel";"   30723"
"2021";"Gemert-Bakel";"   30760"
"2022";"Gemert-Bakel";"   31040"
"2023";"Gemert-Bakel";"   31383"
"2011";"Gendringen";""
"2012";"Gendringen";""
"2013";"Gendringen";""
"2014";"Gendringen";""
"2015";"Gendringen";""
"2016";"Gendringen";""
"2017";"Gendringen";""
"2018";"Gendringen";""
"2019";"Gendringen";""
"2020";"Gendringen";""
"2021";"Gendringen";""
"2022";"Gendringen";""
"2023";"Gendringen";""
"2011";"Gennep";"   17383"
"2012";"Gennep";"   17367"
"2013";"Gennep";"   17319"
"2014";"Gennep";"   17286"
"2015";"Gennep";"   17280"
"2016";"Gennep";"   17085"
"2017";"Gennep";"   17129"
"2018";"Gennep";"   17052"
"2019";"Gennep";"   17071"
"2020";"Gennep";"   16921"
"2021";"Gennep";"   17035"
"2022";"Gennep";"   17237"
"2023";"Gennep";"   17764"
"2011";"Giessenlanden";"   14427"
"2012";"Giessenlanden";"   14508"
"2013";"Giessenlanden";"   14466"
"2014";"Giessenlanden";"   14442"
"2015";"Giessenlanden";"   14464"
"2016";"Giessenlanden";"   14544"
"2017";"Giessenlanden";"   14596"
"2018";"Giessenlanden";"   14551"
"2019";"Giessenlanden";""
"2020";"Giessenlanden";""
"2021";"Giessenlanden";""
"2022";"Giessenlanden";""
"2023";"Giessenlanden";""
"2011";"Gilze en Rijen";"   25764"
"2012";"Gilze en Rijen";"   25589"
"2013";"Gilze en Rijen";"   25858"
"2014";"Gilze en Rijen";"   26069"
"2015";"Gilze en Rijen";"   26065"
"2016";"Gilze en Rijen";"   26152"
"2017";"Gilze en Rijen";"   26220"
"2018";"Gilze en Rijen";"   26313"
"2019";"Gilze en Rijen";"   26431"
"2020";"Gilze en Rijen";"   26431"
"2021";"Gilze en Rijen";"   26723"
"2022";"Gilze en Rijen";"   26557"
"2023";"Gilze en Rijen";"   26815"
"2011";"Goedereede";"   11409"
"2012";"Goedereede";"   11380"
"2013";"Goedereede";""
"2014";"Goedereede";""
"2015";"Goedereede";""
"2016";"Goedereede";""
"2017";"Goedereede";""
"2018";"Goedereede";""
"2019";"Goedereede";""
"2020";"Goedereede";""
"2021";"Goedereede";""
"2022";"Goedereede";""
"2023";"Goedereede";""
"2011";"Goeree-Overflakkee";""
"2012";"Goeree-Overflakkee";""
"2013";"Goeree-Overflakkee";"   48259"
"2014";"Goeree-Overflakkee";"   48245"
"2015";"Goeree-Overflakkee";"   48206"
"2016";"Goeree-Overflakkee";"   48321"
"2017";"Goeree-Overflakkee";"   48653"
"2018";"Goeree-Overflakkee";"   49129"
"2019";"Goeree-Overflakkee";"   49611"
"2020";"Goeree-Overflakkee";"   50049"
"2021";"Goeree-Overflakkee";"   50589"
"2022";"Goeree-Overflakkee";"   51051"
"2023";"Goeree-Overflakkee";"   51590"
"2011";"Goes";"   36665"
"2012";"Goes";"   36921"
"2013";"Goes";"   36971"
"2014";"Goes";"   36954"
"2015";"Goes";"   37153"
"2016";"Goes";"   37207"
"2017";"Goes";"   37274"
"2018";"Goes";"   37636"
"2019";"Goes";"   37653"
"2020";"Goes";"   38082"
"2021";"Goes";"   38594"
"2022";"Goes";"   38950"
"2023";"Goes";"   39433"
"2011";"Goirle";"   22807"
"2012";"Goirle";"   22805"
"2013";"Goirle";"   22933"
"2014";"Goirle";"   23098"
"2015";"Goirle";"   23014"
"2016";"Goirle";"   23111"
"2017";"Goirle";"   23317"
"2018";"Goirle";"   23621"
"2019";"Goirle";"   23793"
"2020";"Goirle";"   23904"
"2021";"Goirle";"   23952"
"2022";"Goirle";"   23979"
"2023";"Goirle";"   24177"
"2011";"Gooise Meren";""
"2012";"Gooise Meren";""
"2013";"Gooise Meren";""
"2014";"Gooise Meren";""
"2015";"Gooise Meren";""
"2016";"Gooise Meren";"   56696"
"2017";"Gooise Meren";"   56935"
"2018";"Gooise Meren";"   57337"
"2019";"Gooise Meren";"   57715"
"2020";"Gooise Meren";"   58055"
"2021";"Gooise Meren";"   58524"
"2022";"Gooise Meren";"   58846"
"2023";"Gooise Meren";"   60341"
"2011";"Gorinchem";"   34895"
"2012";"Gorinchem";"   35083"
"2013";"Gorinchem";"   35128"
"2014";"Gorinchem";"   35242"
"2015";"Gorinchem";"   35338"
"2016";"Gorinchem";"   35260"
"2017";"Gorinchem";"   35755"
"2018";"Gorinchem";"   36284"
"2019";"Gorinchem";"   36682"
"2020";"Gorinchem";"   37022"
"2021";"Gorinchem";"   37410"
"2022";"Gorinchem";"   37632"
"2023";"Gorinchem";"   38461"
"2011";"Gorssel";""
"2012";"Gorssel";""
"2013";"Gorssel";""
"2014";"Gorssel";""
"2015";"Gorssel";""
"2016";"Gorssel";""
"2017";"Gorssel";""
"2018";"Gorssel";""
"2019";"Gorssel";""
"2020";"Gorssel";""
"2021";"Gorssel";""
"2022";"Gorssel";""
"2023";"Gorssel";""
"2011";"Gouda";"   71047"
"2012";"Gouda";"   71235"
"2013";"Gouda";"   70904"
"2014";"Gouda";"   70941"
"2015";"Gouda";"   71105"
"2016";"Gouda";"   71189"
"2017";"Gouda";"   71752"
"2018";"Gouda";"   72700"
"2019";"Gouda";"   73181"
"2020";"Gouda";"   73427"
"2021";"Gouda";"   73681"
"2022";"Gouda";"   74095"
"2023";"Gouda";"   75316"
"2011";"Graafstroom";"    9807"
"2012";"Graafstroom";"    9795"
"2013";"Graafstroom";""
"2014";"Graafstroom";""
"2015";"Graafstroom";""
"2016";"Graafstroom";""
"2017";"Graafstroom";""
"2018";"Graafstroom";""
"2019";"Graafstroom";""
"2020";"Graafstroom";""
"2021";"Graafstroom";""
"2022";"Graafstroom";""
"2023";"Graafstroom";""
"2011";"Graft-De Rijp";"    6483"
"2012";"Graft-De Rijp";"    6436"
"2013";"Graft-De Rijp";"    6429"
"2014";"Graft-De Rijp";"    6452"
"2015";"Graft-De Rijp";""
"2016";"Graft-De Rijp";""
"2017";"Graft-De Rijp";""
"2018";"Graft-De Rijp";""
"2019";"Graft-De Rijp";""
"2020";"Graft-De Rijp";""
"2021";"Graft-De Rijp";""
"2022";"Graft-De Rijp";""
"2023";"Graft-De Rijp";""
"2011";"Grave";"   13031"
"2012";"Grave";"   12799"
"2013";"Grave";"   12731"
"2014";"Grave";"   12695"
"2015";"Grave";"   12840"
"2016";"Grave";"   12643"
"2017";"Grave";"   12370"
"2018";"Grave";"   12419"
"2019";"Grave";"   12483"
"2020";"Grave";"   12436"
"2021";"Grave";"   12486"
"2022";"Grave";""
"2023";"Grave";""
"2011";"'s-Gravendeel";""
"2012";"'s-Gravendeel";""
"2013";"'s-Gravendeel";""
"2014";"'s-Gravendeel";""
"2015";"'s-Gravendeel";""
"2016";"'s-Gravendeel";""
"2017";"'s-Gravendeel";""
"2018";"'s-Gravendeel";""
"2019";"'s-Gravendeel";""
"2020";"'s-Gravendeel";""
"2021";"'s-Gravendeel";""
"2022";"'s-Gravendeel";""
"2023";"'s-Gravendeel";""
"2011";"'s-Gravenhage (gemeente)";"  495083"
"2012";"'s-Gravenhage (gemeente)";"  502055"
"2013";"'s-Gravenhage (gemeente)";"  505856"
"2014";"'s-Gravenhage (gemeente)";"  508940"
"2015";"'s-Gravenhage (gemeente)";"  514861"
"2016";"'s-Gravenhage (gemeente)";"  519988"
"2017";"'s-Gravenhage (gemeente)";"  524882"
"2018";"'s-Gravenhage (gemeente)";"  532561"
"2019";"'s-Gravenhage (gemeente)";"  537833"
"2020";"'s-Gravenhage (gemeente)";"  545838"
"2021";"'s-Gravenhage (gemeente)";"  548320"
"2022";"'s-Gravenhage (gemeente)";"  553417"
"2023";"'s-Gravenhage (gemeente)";"  562839"
"2011";"'s-Gravenzande";""
"2012";"'s-Gravenzande";""
"2013";"'s-Gravenzande";""
"2014";"'s-Gravenzande";""
"2015";"'s-Gravenzande";""
"2016";"'s-Gravenzande";""
"2017";"'s-Gravenzande";""
"2018";"'s-Gravenzande";""
"2019";"'s-Gravenzande";""
"2020";"'s-Gravenzande";""
"2021";"'s-Gravenzande";""
"2022";"'s-Gravenzande";""
"2023";"'s-Gravenzande";""
"2011";"Groenlo";""
"2012";"Groenlo";""
"2013";"Groenlo";""
"2014";"Groenlo";""
"2015";"Groenlo";""
"2016";"Groenlo";""
"2017";"Groenlo";""
"2018";"Groenlo";""
"2019";"Groenlo";""
"2020";"Groenlo";""
"2021";"Groenlo";""
"2022";"Groenlo";""
"2023";"Groenlo";""
"2011";"Groesbeek";"   18870"
"2012";"Groesbeek";"   18884"
"2013";"Groesbeek";"   19009"
"2014";"Groesbeek";"   18977"
"2015";"Groesbeek";"   34258"
"2016";"Groesbeek";""
"2017";"Groesbeek";""
"2018";"Groesbeek";""
"2019";"Groesbeek";""
"2020";"Groesbeek";""
"2021";"Groesbeek";""
"2022";"Groesbeek";""
"2023";"Groesbeek";""
"2011";"Groningen (gemeente)";"  189991"
"2012";"Groningen (gemeente)";"  193127"
"2013";"Groningen (gemeente)";"  195418"
"2014";"Groningen (gemeente)";"  198317"
"2015";"Groningen (gemeente)";"  200336"
"2016";"Groningen (gemeente)";"  200952"
"2017";"Groningen (gemeente)";"  202636"
"2018";"Groningen (gemeente)";"  202810"
"2019";"Groningen (gemeente)";"  231299"
"2020";"Groningen (gemeente)";"  232874"
"2021";"Groningen (gemeente)";"  233273"
"2022";"Groningen (gemeente)";"  234950"
"2023";"Groningen (gemeente)";"  238147"
"2011";"Grootegast";"   12209"
"2012";"Grootegast";"   12275"
"2013";"Grootegast";"   12222"
"2014";"Grootegast";"   12165"
"2015";"Grootegast";"   12123"
"2016";"Grootegast";"   12155"
"2017";"Grootegast";"   12166"
"2018";"Grootegast";"   12143"
"2019";"Grootegast";""
"2020";"Grootegast";""
"2021";"Grootegast";""
"2022";"Grootegast";""
"2023";"Grootegast";""
"2011";"Gulpen-Wittem";"   14496"
"2012";"Gulpen-Wittem";"   14479"
"2013";"Gulpen-Wittem";"   14444"
"2014";"Gulpen-Wittem";"   14484"
"2015";"Gulpen-Wittem";"   14497"
"2016";"Gulpen-Wittem";"   14508"
"2017";"Gulpen-Wittem";"   14337"
"2018";"Gulpen-Wittem";"   14196"
"2019";"Gulpen-Wittem";"   14246"
"2020";"Gulpen-Wittem";"   14171"
"2021";"Gulpen-Wittem";"   14206"
"2022";"Gulpen-Wittem";"   14178"
"2023";"Gulpen-Wittem";"   14210"
"2011";"Haaksbergen";"   24448"
"2012";"Haaksbergen";"   24419"
"2013";"Haaksbergen";"   24322"
"2014";"Haaksbergen";"   24344"
"2015";"Haaksbergen";"   24307"
"2016";"Haaksbergen";"   24332"
"2017";"Haaksbergen";"   24272"
"2018";"Haaksbergen";"   24291"
"2019";"Haaksbergen";"   24277"
"2020";"Haaksbergen";"   24311"
"2021";"Haaksbergen";"   24229"
"2022";"Haaksbergen";"   24268"
"2023";"Haaksbergen";"   24502"
"2011";"Haaren";"   13630"
"2012";"Haaren";"   13621"
"2013";"Haaren";"   13572"
"2014";"Haaren";"   13587"
"2015";"Haaren";"   13523"
"2016";"Haaren";"   13570"
"2017";"Haaren";"   13912"
"2018";"Haaren";"   14103"
"2019";"Haaren";"   14195"
"2020";"Haaren";"   14370"
"2021";"Haaren";""
"2022";"Haaren";""
"2023";"Haaren";""
"2011";"Haarlem";"  150670"
"2012";"Haarlem";"  151818"
"2013";"Haarlem";"  153093"
"2014";"Haarlem";"  155147"
"2015";"Haarlem";"  156645"
"2016";"Haarlem";"  158140"
"2017";"Haarlem";"  159229"
"2018";"Haarlem";"  159709"
"2019";"Haarlem";"  161265"
"2020";"Haarlem";"  162902"
"2021";"Haarlem";"  162543"
"2022";"Haarlem";"  162898"
"2023";"Haarlem";"  165396"
"2011";"Haarlemmerliede en Spaarnwoude";"    5432"
"2012";"Haarlemmerliede en Spaarnwoude";"    5474"
"2013";"Haarlemmerliede en Spaarnwoude";"    5526"
"2014";"Haarlemmerliede en Spaarnwoude";"    5535"
"2015";"Haarlemmerliede en Spaarnwoude";"    5574"
"2016";"Haarlemmerliede en Spaarnwoude";"    5578"
"2017";"Haarlemmerliede en Spaarnwoude";"    5665"
"2018";"Haarlemmerliede en Spaarnwoude";"    5867"
"2019";"Haarlemmerliede en Spaarnwoude";""
"2020";"Haarlemmerliede en Spaarnwoude";""
"2021";"Haarlemmerliede en Spaarnwoude";""
"2022";"Haarlemmerliede en Spaarnwoude";""
"2023";"Haarlemmerliede en Spaarnwoude";""
"2011";"Haarlemmermeer";"  143374"
"2012";"Haarlemmermeer";"  143943"
"2013";"Haarlemmermeer";"  144153"
"2014";"Haarlemmermeer";"  144061"
"2015";"Haarlemmermeer";"  144152"
"2016";"Haarlemmermeer";"  144518"
"2017";"Haarlemmermeer";"  146003"
"2018";"Haarlemmermeer";"  147282"
"2019";"Haarlemmermeer";"  154235"
"2020";"Haarlemmermeer";"  156002"
"2021";"Haarlemmermeer";"  157789"
"2022";"Haarlemmermeer";"  159336"
"2023";"Haarlemmermeer";"  162300"
"2011";"Haelen";""
"2012";"Haelen";""
"2013";"Haelen";""
"2014";"Haelen";""
"2015";"Haelen";""
"2016";"Haelen";""
"2017";"Haelen";""
"2018";"Haelen";""
"2019";"Haelen";""
"2020";"Haelen";""
"2021";"Haelen";""
"2022";"Haelen";""
"2023";"Haelen";""
"2011";"Halderberge";"   29292"
"2012";"Halderberge";"   29325"
"2013";"Halderberge";"   29231"
"2014";"Halderberge";"   29340"
"2015";"Halderberge";"   29484"
"2016";"Halderberge";"   29531"
"2017";"Halderberge";"   29579"
"2018";"Halderberge";"   29888"
"2019";"Halderberge";"   30194"
"2020";"Halderberge";"   30284"
"2021";"Halderberge";"   30430"
"2022";"Halderberge";"   30770"
"2023";"Halderberge";"   31041"
"2011";"Hardenberg";"   59283"
"2012";"Hardenberg";"   59430"
"2013";"Hardenberg";"   59585"
"2014";"Hardenberg";"   59577"
"2015";"Hardenberg";"   59577"
"2016";"Hardenberg";"   59687"
"2017";"Hardenberg";"   60211"
"2018";"Hardenberg";"   60539"
"2019";"Hardenberg";"   60574"
"2020";"Hardenberg";"   60948"
"2021";"Hardenberg";"   61357"
"2022";"Hardenberg";"   61798"
"2023";"Hardenberg";"   62509"
"2011";"Harderwijk";"   44932"
"2012";"Harderwijk";"   45429"
"2013";"Harderwijk";"   45650"
"2014";"Harderwijk";"   45732"
"2015";"Harderwijk";"   45776"
"2016";"Harderwijk";"   45966"
"2017";"Harderwijk";"   46352"
"2018";"Harderwijk";"   46832"
"2019";"Harderwijk";"   47581"
"2020";"Harderwijk";"   48414"
"2021";"Harderwijk";"   48726"
"2022";"Harderwijk";"   48857"
"2023";"Harderwijk";"   48906"
"2011";"Hardinxveld-Giessendam";"   17535"
"2012";"Hardinxveld-Giessendam";"   17654"
"2013";"Hardinxveld-Giessendam";"   17722"
"2014";"Hardinxveld-Giessendam";"   17758"
"2015";"Hardinxveld-Giessendam";"   17802"
"2016";"Hardinxveld-Giessendam";"   17774"
"2017";"Hardinxveld-Giessendam";"   17872"
"2018";"Hardinxveld-Giessendam";"   17958"
"2019";"Hardinxveld-Giessendam";"   18051"
"2020";"Hardinxveld-Giessendam";"   18295"
"2021";"Hardinxveld-Giessendam";"   18413"
"2022";"Hardinxveld-Giessendam";"   18511"
"2023";"Hardinxveld-Giessendam";"   18681"
"2011";"Haren";"   18515"
"2012";"Haren";"   18457"
"2013";"Haren";"   18642"
"2014";"Haren";"   18782"
"2015";"Haren";"   18924"
"2016";"Haren";"   19076"
"2017";"Haren";"   19570"
"2018";"Haren";"   19860"
"2019";"Haren";""
"2020";"Haren";""
"2021";"Haren";""
"2022";"Haren";""
"2023";"Haren";""
"2011";"Harenkarspel";"   16179"
"2012";"Harenkarspel";"   16194"
"2013";"Harenkarspel";""
"2014";"Harenkarspel";""
"2015";"Harenkarspel";""
"2016";"Harenkarspel";""
"2017";"Harenkarspel";""
"2018";"Harenkarspel";""
"2019";"Harenkarspel";""
"2020";"Harenkarspel";""
"2021";"Harenkarspel";""
"2022";"Harenkarspel";""
"2023";"Harenkarspel";""
"2011";"Harlingen";"   15878"
"2012";"Harlingen";"   15844"
"2013";"Harlingen";"   15854"
"2014";"Harlingen";"   15821"
"2015";"Harlingen";"   15779"
"2016";"Harlingen";"   15813"
"2017";"Harlingen";"   15860"
"2018";"Harlingen";"   15783"
"2019";"Harlingen";"   15758"
"2020";"Harlingen";"   15722"
"2021";"Harlingen";"   15807"
"2022";"Harlingen";"   15904"
"2023";"Harlingen";"   16188"
"2011";"Hattem";"   11762"
"2012";"Hattem";"   11805"
"2013";"Hattem";"   11769"
"2014";"Hattem";"   11732"
"2015";"Hattem";"   11821"
"2016";"Hattem";"   11890"
"2017";"Hattem";"   12040"
"2018";"Hattem";"   12154"
"2019";"Hattem";"   12173"
"2020";"Hattem";"   12209"
"2021";"Hattem";"   12228"
"2022";"Hattem";"   12307"
"2023";"Hattem";"   12563"
"2011";"Heel";""
"2012";"Heel";""
"2013";"Heel";""
"2014";"Heel";""
"2015";"Heel";""
"2016";"Heel";""
"2017";"Heel";""
"2018";"Heel";""
"2019";"Heel";""
"2020";"Heel";""
"2021";"Heel";""
"2022";"Heel";""
"2023";"Heel";""
"2011";"Heemskerk";"   39206"
"2012";"Heemskerk";"   39268"
"2013";"Heemskerk";"   39117"
"2014";"Heemskerk";"   39088"
"2015";"Heemskerk";"   39138"
"2016";"Heemskerk";"   39299"
"2017";"Heemskerk";"   39171"
"2018";"Heemskerk";"   39146"
"2019";"Heemskerk";"   39164"
"2020";"Heemskerk";"   39182"
"2021";"Heemskerk";"   39191"
"2022";"Heemskerk";"   39189"
"2023";"Heemskerk";"   39431"
"2011";"Heemstede";"   26297"
"2012";"Heemstede";"   26242"
"2013";"Heemstede";"   26317"
"2014";"Heemstede";"   26364"
"2015";"Heemstede";"   26480"
"2016";"Heemstede";"   26766"
"2017";"Heemstede";"   26936"
"2018";"Heemstede";"   27080"
"2019";"Heemstede";"   27286"
"2020";"Heemstede";"   27234"
"2021";"Heemstede";"   27545"
"2022";"Heemstede";"   27557"
"2023";"Heemstede";"   27778"
"2011";"Heerde";"   18300"
"2012";"Heerde";"   18244"
"2013";"Heerde";"   18399"
"2014";"Heerde";"   18490"
"2015";"Heerde";"   18512"
"2016";"Heerde";"   18556"
"2017";"Heerde";"   18561"
"2018";"Heerde";"   18603"
"2019";"Heerde";"   18546"
"2020";"Heerde";"   18589"
"2021";"Heerde";"   18776"
"2022";"Heerde";"   18976"
"2023";"Heerde";"   19214"
"2011";"Heerenveen";"   43454"
"2012";"Heerenveen";"   43514"
"2013";"Heerenveen";"   43323"
"2014";"Heerenveen";"   49899"
"2015";"Heerenveen";"   50141"
"2016";"Heerenveen";"   50290"
"2017";"Heerenveen";"   50203"
"2018";"Heerenveen";"   50192"
"2019";"Heerenveen";"   50257"
"2020";"Heerenveen";"   50493"
"2021";"Heerenveen";"   50650"
"2022";"Heerenveen";"   51119"
"2023";"Heerenveen";"   51637"
"2011";"Heerhugowaard";"   51985"
"2012";"Heerhugowaard";"   52483"
"2013";"Heerhugowaard";"   52893"
"2014";"Heerhugowaard";"   53307"
"2015";"Heerhugowaard";"   53554"
"2016";"Heerhugowaard";"   53927"
"2017";"Heerhugowaard";"   54950"
"2018";"Heerhugowaard";"   55850"
"2019";"Heerhugowaard";"   56742"
"2020";"Heerhugowaard";"   57587"
"2021";"Heerhugowaard";"   58387"
